,variable,value
940,CODEC,42694.962999999996
941,CODEC,41958.672999999995
942,CODEC,42717.517
943,CODEC,42918.350999999995
944,CODEC,43362.54
945,CODEC,44543.068
946,CODEC,44516.239
947,CODEC,53243.953
948,CODEC,46632.58
949,CODEC,46097.325
950,CODEC,47013.957
951,CODEC,47141.450999999994
952,CODEC,47867.114
953,CODEC,49681.27099999999
954,CODEC,69687.484
955,CODEC,80004.226
956,CODEC,52766.502
957,CODEC,51423.812999999995
958,CODEC,64093.108
959,CODEC,52498.07
960,CODEC,51861.638
961,CODEC,94449.906
962,CODEC,54024.962999999996
963,CODEC,56663.202000000005
964,CODEC,68187.688
965,CODEC,54522.812000000005
966,CODEC,58388.367
967,CODEC,76276.833
968,CODEC,55786.125
969,CODEC,56521.253
970,CODEC,71031.922
971,CODEC,57348.888
972,CODEC,58032.814000000006
973,CODEC,58964.443
974,CODEC,65881.443
975,CODEC,81929.04400000001
976,CODEC,74870.985
977,CODEC,61493.545
978,CODEC,75312.275
979,CODEC,82982.65400000001
980,CODEC,61733.91
981,CODEC,62401.265
982,CODEC,63015.903
983,CODEC,64739.065
984,CODEC,64464.944
985,CODEC,68084.4
986,CODEC,65000.702000000005
987,CODEC,66941.19099999999
988,CODEC,89453.59
989,CODEC,91006.49
990,CODEC,67497.651
991,CODEC,67776.921
992,CODEC,69432.107
993,CODEC,69432.082
994,CODEC,69216.74799999999
995,CODEC,70018.493
996,CODEC,70809.774
997,CODEC,70713.01299999999
998,CODEC,71565.739
999,CODEC,72090.212
1000,CODEC,72374.617
1001,CODEC,73819.447
1002,CODEC,73700.78
1003,CODEC,74737.617
1004,CODEC,75409.159
1005,CODEC,75937.34
1006,CODEC,75553.463
1007,CODEC,80317.87400000001
1008,CODEC,76802.90299999999
1009,CODEC,92224.451
1010,CODEC,78249.492
1011,CODEC,81117.922
1012,CODEC,81106.583
1013,CODEC,81130.418
1014,CODEC,80795.379
1015,CODEC,81063.65400000001
1016,CODEC,81115.214
1017,CODEC,81324.698
1018,CODEC,97974.69
1019,CODEC,98517.88
1020,CODEC,99290.022
1021,CODEC,98229.399
1022,CODEC,83805.489
1023,CODEC,100473.00099999999
1024,CODEC,87168.43199999999
1025,CODEC,85675.39199999999
1026,CODEC,98159.46800000001
1027,CODEC,110322.53300000001
1028,CODEC,89028.034
1029,CODEC,105476.916
1030,CODEC,118156.53
1031,CODEC,89139.51199999999
1032,CODEC,90471.609
1033,CODEC,89653.71
1034,CODEC,90228.83300000001
1035,CODEC,91564.939
1036,CODEC,92376.811
1037,CODEC,92754.89300000001
1038,CODEC,92832.049
1039,CODEC,92838.022
1040,CODEC,93885.487
1041,CODEC,95518.46699999999
1042,CODEC,93829.121
1043,CODEC,95099.11300000001
1044,CODEC,104379.263
1045,CODEC,96506.323
1046,CODEC,96828.841
1047,CODEC,109142.281
1048,CODEC,97391.90800000001
1049,CODEC,
1050,CODEC,
1051,CODEC,
1052,CODEC,
1053,CODEC,
1054,CODEC,
1055,CODEC,
1056,CODEC,
1057,CODEC,
1058,CODEC,
1059,CODEC,
1060,CODEC,
1061,CODEC,
1062,CODEC,
1063,CODEC,
1064,CODEC,
1065,CODEC,
1066,CODEC,
1067,CODEC,
1068,CODEC,
1069,CODEC,
1070,CODEC,
1071,CODEC,
1072,CODEC,
1073,CODEC,
1074,CODEC,
1075,CODEC,
1076,CODEC,
1077,CODEC,
1078,CODEC,
1079,CODEC,
1080,CODEC,
1081,CODEC,
1082,CODEC,
1083,CODEC,
1084,CODEC,
1085,CODEC,
1086,CODEC,
1087,CODEC,
1088,CODEC,
1089,CODEC,
1090,CODEC,
1091,CODEC,
1092,CODEC,
1093,CODEC,
1094,CODEC,
1095,CODEC,
1096,CODEC,
1097,CODEC,
1098,CODEC,
1099,CODEC,
1100,CODEC,
1101,CODEC,
1102,CODEC,
1103,CODEC,
1104,CODEC,
1105,CODEC,
1106,CODEC,
1107,CODEC,
1108,CODEC,
1109,CODEC,
1110,CODEC,
1111,CODEC,
1112,CODEC,
1113,CODEC,
1114,CODEC,
1115,CODEC,
1116,CODEC,
1117,CODEC,
1118,CODEC,
1119,CODEC,
1120,CODEC,
1121,CODEC,
1122,CODEC,
1123,CODEC,
1124,CODEC,
1125,CODEC,
1126,CODEC,
1127,CODEC,
1128,CODEC,
1129,CODEC,
1130,CODEC,
1131,CODEC,
1132,CODEC,
1133,CODEC,
1134,CODEC,
1135,CODEC,
1136,CODEC,
1137,CODEC,
1138,CODEC,
1139,CODEC,
1140,CODEC,
1141,CODEC,
1142,CODEC,
1143,CODEC,
1144,CODEC,
1145,CODEC,
1146,CODEC,
1147,CODEC,
1148,CODEC,
1149,CODEC,
1150,CODEC,
1151,CODEC,
1152,CODEC,
1153,CODEC,
1154,CODEC,
1155,CODEC,
1156,CODEC,
1157,CODEC,
1158,CODEC,
1159,CODEC,
1160,CODEC,
1161,CODEC,
1162,CODEC,
1163,CODEC,
1164,CODEC,
1165,CODEC,
1166,CODEC,
1167,CODEC,
1168,CODEC,
1169,CODEC,
1170,CODEC,
1171,CODEC,
1172,CODEC,
1173,CODEC,
1174,CODEC,
1175,CODEC,
1176,CODEC,
1177,CODEC,
1178,CODEC,
1179,CODEC,
1180,CODEC,
1181,CODEC,
1182,CODEC,
1183,CODEC,
1184,CODEC,
1185,CODEC,
1186,CODEC,
1187,CODEC,
1188,CODEC,
1189,CODEC,
1190,CODEC,
1191,CODEC,
1192,CODEC,
1193,CODEC,
1194,CODEC,
1195,CODEC,
1196,CODEC,
1197,CODEC,
1198,CODEC,
1199,CODEC,
1200,CODEC,
1201,CODEC,
1202,CODEC,
1203,CODEC,
1204,CODEC,
1205,CODEC,
1206,CODEC,
1207,CODEC,
1208,CODEC,
1209,CODEC,
1210,CODEC,
1211,CODEC,
1212,CODEC,
1213,CODEC,
1214,CODEC,
1215,CODEC,
1216,CODEC,
1217,CODEC,
1218,CODEC,
1219,CODEC,
1220,CODEC,
1221,CODEC,
1222,CODEC,
1223,CODEC,
1224,CODEC,
1225,CODEC,
1226,CODEC,
1227,CODEC,
1228,CODEC,
1229,CODEC,
1230,CODEC,
1231,CODEC,
1232,CODEC,
1233,CODEC,
1234,CODEC,
1235,CODEC,
1236,CODEC,
1237,CODEC,
1238,CODEC,
1239,CODEC,
1240,CODEC,
1241,CODEC,
1242,CODEC,
1243,CODEC,
1244,CODEC,
1245,CODEC,
1246,CODEC,
1247,CODEC,
1248,CODEC,
1249,CODEC,
1250,CODEC,
1251,CODEC,
1252,CODEC,
1253,CODEC,
1254,CODEC,
1255,CODEC,
1256,CODEC,
1257,CODEC,
1258,CODEC,
1259,CODEC,
1260,CODEC,
1261,CODEC,
1262,CODEC,
1263,CODEC,
1264,CODEC,
1265,CODEC,
1266,CODEC,
1267,CODEC,
1268,CODEC,
1269,CODEC,
1270,CODEC,
1271,CODEC,
1272,CODEC,
1273,CODEC,
1274,CODEC,
1275,CODEC,
1276,CODEC,
1277,CODEC,
1278,CODEC,
1279,CODEC,
1280,CODEC,
1281,CODEC,
